keyword,year,month
Low Level Feature Extraction · Perceptual,2016,09
TRNG,2013,September
TRNG,2013,June
TRNG,2013,June
simple majority voting,2015,May
Evaluation,2010,03
low bit rate w,2013,November
packet error rate,2012,September
Sphere Decoding,2015,August
Smart Me-,2014,01
(IQA) · Center-Surround Frequency Scaling · Two-Tier,2016,09
Web-Telco convergence,2011,December
Web-Telco convergence,2011,August
Linearity,2014,June
deep submicron cmos devices,2014,June
libéralisation,2013,June
popular music exhibit,2011,09
Stielt-,2013,02
often developed ad hoc,2013,
Inter-class Kolmogorov-Smirnov Analysis (IKSA),2012,October
physical,2011,
Optical Sin- gle-sideband (OSSB),2014,11
musique,2011,
publicly available netflix dataset,2013,September
software defined radio,2014,June
"17 ], even though",2015,June
image interpolation,2011,October
NMF contribution clustering,2011,December
develop dynamic systems,2013,09
Non-stationary processes,2013,September
Application,2014,October
flip-flop optique,2011,July
novel hybrid iii,2015,October
free specialized message queues,2013,June
Wiener chaos,2011,03
Wiener chaos,2012,03
H52 [Information interfaces and presentation]: User,2011,
Débruitage,2015,September
Débruitage,2015,August
correlated photon pairs,2015,May
previously beyond reach,2015,July
Index Terms— Distributed Optimization,2014,
clusivity,2011,11
Android,2012,
Android,2014,May
Android,2015,August
Android,2015,July
Android,2014,October
Android,2013,November
channel coding problem,2015,August
Interpersonal stance,2012,November
Interpersonal stance,2013,
anisotropic diffusion,2015,July
00 © 2011 ieee,2011,September
natural language understanding,2013,August
60K35,2015,
additional sharing price,2015,September
Noise containment,2016,02
create topical web archives,2014,August
create topical web archives,2014,July
network anomaly detection,2012,March
network anomaly detection,2012,03
open adaptable and distributed applications,2013,June
Relations spatiales floues,2015,
Relations spatiales floues,2014,October
C24 [Computer-Communication Networks]: Distributed,2012,December
erasure broadcast channel,2015,August
16 − 17 k,2011,June
discrete probability distributions,2011,
although quite innocent,2011,
real-time middleware,2013,June
arithmetic and geometric tools,2015,December
Retrieval]: Information Storage – file organization H54,2011,February
Performance evaluation,2011,
1,2013,12
1,2015,April
Access Control Model,2014,March
— content centric networking,2011,December
— content centric networking,2011,September
— content centric networking,2012,December
— content centric networking,2012,September
activism,2013,January
time-variant,2013,June
stochastic level set methods,2011,
Remote sensing,2014,
short (& lt,2015,October
évaluation scientifique,2011,July
spinning dust spectrum peaking,2014,December
1d distributions allows us,2011,
MLEM,2013,April
eigenvalue estimators,2013,01
f )] − 1,2006,07
ardestanizadeh et al,2015,11
STI,2012,October
-extremal,2012,April
-extremal,2012,04
Non-negative Matrix Factor- ization,2014,May
Production costs,2011,07
Production costs,2013,01
shadows,2011,
multiview video,2015,April
multiview video,2016,March
fiber,2015,February
(GUI),2012,April
information dissemination,2015,October
free software named ttool,2012,February
sir area coincide,2014,February
unsupervised learning task,2013,01
unstable structure would result,2015,June
pdfauthor=Sylvain Robbiano,2015,01
discrete Hartley transform,2013,November
locked quantum cascade lasers,2013,February
Group-sparsity ✦,2013,05
necessarily geometrically ergodic,2012,08
Countermeasures,2011,
Countermeasures,2012,
soclib virtual prototyping platform,2012,February
job interview coaching,2013,July
Classification task,2014,April
ALISP,2013,May
video game design,2011,October
Kramer's code,2012,January
reweighted mixed,2014,June
BIFS,2011,
BIFS,2011,November
quantum attacks provided,2014,October
dataset reports logs,2013,September
resource allocation algorithm,2011,07
performativité,2012,December
phase shift (√ z,2012,07
ethnométhodologie analyse conversationnelle,2014,August
best-arm identification,2016,01
empirical process,2012,August
Fanout reduction,1932,December
Fanout reduction,2011,December
65D18,2011,
Detection theory,2013,
problems,2011,September
constrained optical flow,2011,July
constrained optical flow,2011,
finds clear evidence,2011,February
Investment,2013,
Investment,2015,01
Cloud computing,2013,January
Cloud computing,2014,
Cloud computing,2013,April
Index Terms—supervised learning,2007,
multiuser,2011,
non-verbal behavior in- terpretation,2012,November
neural-network combination,2011,08
random dot kinematograms,2014,
MRI,2013,04
MRI,2012,01
MRI,2011,June
ontology,2012,September
ontology,2011,May
information géographique,2011,February
Fluorescence lifetime measurements,2011,01
Fluorescence lifetime measurements,2011,January
optimization,2016,03
optimization,2015,01
optimization,2015,January
optimization,2016,March
optimization,2013,June
vehicular networks,2015,October
BOLD,2015,01
BOLD,2015,January
regression forest,2013,September
l3 policies may result,2013,June
l3 policies may result,2013,01
layer network coding,2014,May
stability,2014,01
stability,2011,May
stability,2014,03
WADE,2014,April
web data management scenarios,2008,01
réseau,2011,May
Design methodology,2013,August
expérience,2012,September
computational complexity depends,2015,August
Demodulation,2011,March
Optimization,2014,October
Optimization,2015,June
Optimization,2015,March
Optimization,2015,February
quantum well material system,2013,February
median clustering,2014,02
assessment,2011,September
assessment,2012,12
approximate indirect light transport,2012,12
wireless relay nodes,2013,May
SBaaS,2013,December
SBaaS,2014,October
VS = vegetative state,2014,April
intensional data naturally arises,2008,01
AMS 2000 Mathematics Subject Classification: 62M05,2011,06
Warmth,2011,September
positive semide  nite,2012,01
point clouds,2014,August
design space exploration,2012,January
Data-driven speech segmentation,2011,June
Business position,2012,
FPGA look-up table,2014,June
associated script programming interfaces,2011,12
associated script programming interfaces,2011,May
associated script programming interfaces,2012,12
associated script programming interfaces,2012,May
correction information given,2011,July
correction information given,2011,
power detectors,2012,May
Error propagation,2015,01
random matrix theory,2013,01
conventional vb model selection,2014,May
audiovisual synthesis,2012,May
indirect lighting,2014,01
indirect lighting,2011,
Interface Proxying,2015,07
Cosmo-SkyMed,2012,
Edgeworth expansion,2012,
web application firewalls,2014,
activity,2013,September
new coding scheme,2016,02
Rectangular,2015,February
Index Terms—Feature Selection,2012,12
include sql injection,2014,
Variable Selection,2012,12
exemplar-based inpainting,2011,
Mutual exclusion,2013,June
Cloud Computing,2011,September
Cloud Computing,2014,
Cloud Computing,2013,October
one mobile per cell,2014,10
consider malicious pue,2015,July
Rate,2014,July
upstream queuing delay experienced,2013,December
quantum dots,2015,February
equivalence relations,2012,May
equivalence relations,2015,
equivalence relations,2012,April
fragment-based trackers,2012,July
présentation de soi,2012,September
tier 1 may offer,2012,June
65D17,2011,
cal descriptors,2014,
provides upper bounds,2012,08
Detection,2012,08
Detection,2012,February
Detection,2011,September
Detection,2013,May
Signed Token,2013,July
facial makeup detector,2015,May
higher frame rates,2012,12
contrast adjustment,2011,11
multi-dimensional lattices,2012,05
physical layer,2014,April
physical layer,2014,September
physical layer,2013,April
physical layer,2013,September
physical layer,2015,April
statistical modeling,2012,December
statistical modeling,2012,June
Algebraic,2015,July
Covering Ra-,2015,April
joint segmentation,2011,
G-estimation,2013,01
three active learning criteria,2011,July
bottleneck link governed,2013,September
hierarchical maximal modularity clustering,2008,08
Wiener Filtering,2011,August
Wiener Filtering,2011,08
Wiener Filtering,2012,August
Wiener Filtering,2012,08
video streaming,2011,July
Source separation,2012,July
FPGAs,2011,
scale quantum computing servers,2012,07
domotics,2012,
expérimentation,2011,January
video textures,2014,October
Wideband antenna,2011,October
order boolean masking even,2012,February
semantics,2015,
semantics,2012,August
Optimal triangulations,2011,August
lip  animation,2015,September
Connectivity operators,2012,08
inter-domain routing,2011,12
Navigation,2014,October
Cognitive radio networks,2011,07
Fisher information,2011,January
frequency selection method based,2012,12
considered network topology imposes,2013,June
integration,2012,April
growing data sources,2012,December
three different crf models,2011,09
Imaging,2014,January
optical feedback,2011,January
Markov field,2013,January
interculturelles,2012,June
interculturelles,2011,January
Wiener filtering,2013,May
Wiener filtering,2011,August
Wiener filtering,2011,08
Wiener filtering,2012,August
Wiener filtering,2012,08
wearable computing,2013,April
wearable computing,2012,May
Fuzzy object representation,2015,January
dependent sbs gain issue,2016,01
p2p,2011,March
p2p,2011,December
p2p,2012,March
p2p,2012,December
comparaison internationale,2012,April
comparaison internationale,2012,
Activity components,2012,12
high enough power constraints,2012,01
affine motion estimation,2014,03
affine motion estimation,2014,February
Character recognition,2011,01
record filtering followed,2014,October
traitement d'images,2014,
discrete Laplace-Beltrami operator,2014,March
discrete Laplace-Beltrami operator,2014,01
beamforming,2011,
beamforming,2012,
beamforming,2012,April
dynamic deployment,2016,April
information,2015,December
information,2011,
information,2011,
information,2013,12
information,2016,
Public display,2014,September
Unlinkability,2012,September
Vérification formelle,2013,
one secondary capable,2011,01
one secondary capable,2011,January
humanoid,2013,July
humanoid,2012,October
humanoid,2011,
new asymptotic bounds,2015,01
Commodity Hardware,2012,November
Domain-Specific Markup Languages,2011,
new 5g networks,2015,September
Innova- tion JEL Codes: L13,2015,01
classical source coding strategies,2011,
additional astrophysical data sets,2014,February
probabilistic model,2013,October
probabilistic model,2012,March
Evaluation de performances,2011,
AGM theory,2015,
AGM theory,2015,
CONCURRENCY AND COMPUTATION: PRACTICE AND EXPERIENCE,2010,02
CONCURRENCY AND COMPUTATION: PRACTICE AND EXPERIENCE,2013,02
interfaces,2015,December
binaural BSS,2012,
binaural BSS,2012,April
miniaturisation,2011,October
obtain better precision,2015,May
AMS 2000 subject classifications:,2013,June
transmission techniques,2014,December
game,2012,October
CR Categories: I33 [Computer Graphics]: Picture/Image Gener-,2012,07
second order properties,2013,01
Lexicographic Decomposition,2013,June
Lexicographic Decomposition,2013,06
archiving,2012,April
network schematics,2016,01
network schematics,2016,January
avc encode video sequences,2012,September
recherche partenariale,2011,May
event detection,2015,October
proximation,2014,01
epigraph,2014,December
enable dynamic resource allocation,2013,04
multimodalité,2011,
multimodalité,2011,March
65F22,2012,12
Augmented classroom,2011,September
VANET,2015,October
Hidden Markov model,2013,August
Hidden Markov model,2014,August
reasoning process,2015,August
Java Card,2011,
Java Card,2012,
Informed source separation,2011,October
Sec- tor Coordination,2013,April
scale,2011,June
réseaux de guides d'ondes,2012,September
mented,2010,03
Communication System Security,2013,August
Languages] H51 [HCI]: Multimedia In-,2015,June
Log-normal Shad- owing,2012,September
convex optimization,2011,
convex optimization,2015,August
convex optimization,2011,March
convex optimization,2014,01
convex optimization,2014,September
Long memory,2011,January
C23 [Network Operations]: Network Monitoring,2012,November
demand dynamic deployment models,2016,April
Multimedia Communication,2012,07
Gaussian model,2013,February
Gaussian model,2013,
Gaussian model,2013,May
multi-cellular,2013,June
although graphics cards continue,2011,
data reduction stage based,2014,October
delta modulator makes use,2013,
learning problem,2015,July
formally verified using,2012,February
classification tool named alligator,2014,
3D ultrasound,2013,May
3D ultrasound,2015,08
transfer,2011,September
quite general conditions,2015,
Index Terms Gaussian channel,2016,10
Index Terms Gaussian channel,2016,January
Index Terms Gaussian channel,2013,10
Index Terms Gaussian channel,2013,January
Non-verbal behaviors,2013,
dynamique concurrentielle,2013,June
heterodyne detection method able,2015,October
Variance-based Power Attack (VPA),2011,June
Photoreceptor detection,2012,June
empirical risk maximization principle,2011,
Index Terms—Authentication,2012,04
develop software defined radio,2012,
nearly 0 according,2011,
aggregation,2016,07
aggregation,2011,12
radio-over-fibre,2012,October
second wiener chaos,2011,03
multisensors BSS,2012,
multisensors BSS,2012,April
cas d'utilisation,2011,March
MSC 92D30,2015,12
auxiliary divisors needed,2012,08
key words: Design Space Exploration,2010,02
key words: Design Space Exploration,2013,02
tag backscattering,2011,August
hilbert transform filter,2014,June
lognormal shadowing,2011,
3D Face reconstruction,2014,
LUT,2013,September
joint estimation,2013,06
User-Centric Controls,2013,August
omparison of probabilistic or possibilistic distributions,2016,March
publicly available bgp feeds,2014,
Packet-switching networks General Terms Algorithms,2014,September
general terms algorithms,2014,March
gain model,2014,February
Object detection,2014,November
ordering among interpretations,2015,
thorough simulation study,2011,December
Index Terms—Random matrix theory,2013,11
SON in- stances,2014,December
I31 [Computer Graph- ics]: Hardware Architecture—Parallel Processing,2015,August
specific language,2012,June
Interpolation,2012,December
linear ordering,2013,June
linear ordering,2013,06
scalable framework reverie,2013,June
time,2014,March
time,2014,01
time,2015,June
ollaboration,2012,December
tracking using airborne data,2013,July
Cooperative Communication,2011,06
strongly convex case,2011,
significant cost saving,2016,05
distributed measurement infrastructure collects,2014,01
Asynchronous al- gorithm,2012,
acoustic signature,2014,01
acoustic signature,2014,September
L13,2013,March
L13,2013,03
L13,2011,January
L13,2011,April
Outils de Prévision de la Demande (OPD),2012,
Smartphones,2012,March
Concurrent error detection,2015,January
ambient assisted living,2011,
ambient assisted living,2012,
based coverage hole detection,2014,01
secret key rate,2011,12
secret key rate,2011,December
high quality digital cameras,2012,01
called encoding stage,2011,
agent conversationnel,2012,November
optical transmissions,2012,June
energy minimization problem,2015,
Orthogonal Frequency Division Multiplexing (OFDM),2014,November
Dialog management,2014,
expression synthesis,2014,May
expression synthesis,2012,September
and phrases: CLT,2012,07
several tasks related,2015,June
parallel computing,2015,August
complex lens flare generated,2011,07
Consensus algorithms,2016,September
Consensus algorithms,2016,04
Consensus algorithms,2014,September
Consensus algorithms,2014,04
Consensus algorithms,2014,
accelerated coordinate descent,2016,01
souhaite collecter les pages,2013,October
Proximal point algorithm,2016,01
Proximal point algorithm,2016,October
Proximal point algorithm,2015,01
Proximal point algorithm,2015,October
likelihood function,2014,01
culture,2012,December
tacks,2014,
handles parametric distribution models,2014,
maximum likelihood,2014,September
maximum likelihood,2015,September
maximum likelihood,2015,February
maximum likelihood,2015,July
strong theoretical underpinning,2015,January
Bipolar information,2012,July
Bipolar information,2013,September
multiple faults,2014,June
multiple faults,2014,May
multiple interactive body parts,2012,12
Deep Web,2011,
allows noninvasive brain exploration,2014,
multihoming,2014,April
Reconstruction from Cross-Sections,2013,June
Reconstruction from Cross-Sections,2013,01
Network coding,2016,January
Network coding,2012,August
Network coding,2013,November
consensus de classification,2011,July
computing,2014,November
computing,2012,November
computing,2011,02
configure virtual machines connections,2012,June
threshold accepting,2013,
Long-term stability,2012,July
Statistical Identification,2012,November
channel pair,2012,November
differential,2014,April
Sigma-Delta Modulator,2012,June
including cognitive science,2015,
Estimation,2011,March
Recommandation,2016,January
query format,2012,September
index terms — convergence,2010,12
scatterer,2011,September
point channel capacity estimation,2011,February
point channel capacity estimation,2013,February
Guidance techniques,2015,September
Simultaneous sparse approximation,2012,August
Electroencephalography (EEG),2014,February
Electroencephalography (EEG),2013,April
traverse free space,2013,September
presented model involves,2014,01
smiles corpus constructed,2011,01
smiles corpus constructed,2011,October
smiles corpus constructed,2012,01
smiles corpus constructed,2012,October
generalized spectral density,2013,02
snr penalty,2012,June
galactic cold clumps poutanen,2011,
galactic cold clumps poutanen,2012,
freeform modeling,2012,September
analytical works evaluating sir,2013,03
Green,2012,January
printed dipole,2012,April
SVG,2011,November
62F12,2011,06
psychophysics,2011,04
using patch similarity miss,2014,01
Music,2010,03
menu search,2015,April
attacks,2014,June
Reeb graph,2012,08
série,2011,November
forward filtering backward simulation,2012,
leakage-free coun- termeasure,2012,February
adolescent culture,2011,
Time,2015,December
multiscale oriented filter bank,2011,
uml profile targeting,2013,September
Masking,2013,June
Masking,2012,October
Masking,2011,June
Nonlinearity Distorded signal,2012,June
transport optimal,2015,
transport optimal,2014,October
initial cosmology products based,2014,11
initial cosmology products based,2014,November
time regret bounds,2012,01
use relevance feedback combined,2011,July
Computer Systems Organisation [C0]: General,2014,
several drawbacks including scalability,2016,11
snr asymptotic logarithmic growth,2014,10
deep submicron technologies,2013,June
formation,2013,
formation,2013,May
previously synthesized past,2014,
Multiprocessor,2015,January
S-Box,2014,April
gesture,2011,October
gesture,2011,
Aging effects,2014,May
performed via frame expansion,2012,April
models of time,2011,December
ratio,2012,08
ratio,2012,February
ratio,2016,March
Conversational agents,2014,
Conversational agents,2014,February
former channel also yields,2013,02
maximum posterior mode,2013,June
OpenID,2014,August
OpenID,2014,
OpenID,2014,October
tutorial gives,2014,November
various supersampling scenarios,2013,March
physically unclonable function,2016,July
robust coding,2011,October
Congestion-Distortion Model,2012,August
norm data fit minimization,2013,
MPEG,2011,
MPEG,2011,February
MPEG,2011,November
Theory Additional Key Words and Phrases: Aggregate queries,2011,12
radio logicielle,2013,August
4360Uv [TRM] Pages: 3107–3118,2013,05
hevc includes encoder shortcuts,2014,09
expressions,2014,April
image restoration,2014,December
Adaptive Optics,2012,June
Index Terms— Distributed algorithm,2012,
Green Networking,2012,June
Green Networking,2014,July
Green Networking,2012,
Green Networking,2011,September
Secondary 15A18,2016,01
Secondary 15A18,2013,02
dius,2015,April
verbal signals conveying dominance,2013,
connexion,2015,May
20 audio songs corpus,2011,01
cal Means filter,2013,
initial experiments results prove,2014,August
virtual agent,2013,August
virtual agent,2013,August
virtual agent,2011,01
virtual agent,2011,October
virtual agent,2012,01
virtual agent,2012,October
virtual agent,2012,November
virtual agent,2014,May
measurements collected deploying tstat,2011,05
WBAN channel,2015,April
guidance techniques,2014,October
results obtained show,2015,December
Fetus,2014,
two hermite processes,2014,01
Compute-and-Forward,2013,
model,2016,
model,2013,June
coordinate descent,2015,August
interpolation,2013,
interpolation,2013,March
congestion control,2014,June
(EEG),2013,01
end user may,2011,
congruence,2013,September
Correlation Power Attack (CPA),2012,June
psychologie ergonomique,2011,June
ideal differentiator filter,2014,June
six-port,2012,August
reliability,2011,October
reliability,2013,June
reliability,2014,June
reliability,2011,October
reliability,2014,01
local total variation,2014,December
contention resolution,2015,September
contention resolution,2013,April
discriminant,2015,December
side-channel analysis,2013,
Morton code,2015,August
Sigma Delta ADC,2013,January
provide higher capacities,2015,October
learning rate proportional,2011,
formal specification,2012,January
automatically register planar unfoldings,2011,11
Optical networks,2013,01
Optical networks,2013,January
Optical networks,2013,January
SPECIAL PURPOSE AND APPLICATION-BASED SYS-,2014,
protocol also models,2014,
Look-up Table,2012,June
Frequency chirp,2015,June
robust NMF,2015,October
pauvreté,2012,March
wireless sensor network architecture,2012,June
wireless sensor network architecture,2012,September
Static analysis,2015,July
flicking,2011,
Inter-domain routing,2012,May
Inter-domain routing,2012,November
synthetic image words,2007,04
TTool * Correspondence to:,2010,02
TTool * Correspondence to:,2013,02
Regression,2011,07
Regression,2011,July
core,2012,October
DFB laser,2012,April
reverberation,2015,12
reverberation,2015,December
reverberation,2015,October
optimal policy structures,2013,May
wait harq schemes,2012,September
quantum attacks decreases,2014,October
behavior confers great interest,2013,September
Color images,2016,03
Color images,2016,February
Color images,2015,03
Color images,2015,February
data processing argument applied,2011,01
current methods assume meta,2015,May
layout,2014,June
decentralized online social network,2016,11
digital humanities,2011,May
Secure Element,2013,May
Secure Element,2014,October
Secure Element,2014,April
Secure Element,2014,June
Secure Element,2013,November
Secure Element,2014,January
Secure Element,2014,
advanced signal processing theory,2013,
robot,2011,May
robot,2012,October
robot,2014,
contrast modification,2011,11
Presentation]:,2011,February
corresponding optimal resource allocation,2014,May
Quality of recommendations,2014,October
adaptive digital predistortion,2014,June
signal processing,2015,October
median order,2013,June
median order,2013,06
median order,2012,July
median order,2015,01
median order,2013,01
experimental results show,2012,06
experimental results show,2013,
nonprofit,2012,July
taxonomy considers unique features,2014,03
learning sparse combinations,2015,
results entirely classify,2014,June
adopted layered design methodologies,2013,September
Multichannel phase unwrapping,2011,
information-problem solving,2012,September
Positron Emission Tomography (PET),2016,April
Web2,2011,May
found strongly dependent,2015,October
obtain theoretical guarantees,2015,
(HMI),2015,October
structures,2012,04
adequate nonlinear feedback mechanism,2015,June
adequate nonlinear feedback mechanism,2015,06
cryptography,2015,August
crawling architecture,2014,August
crawling architecture,2014,July
content-aware,2016,01
content-aware,2016,January
systèmes,2012,November
Index Terms—Network Coding,2012,
Osate2,2011,April
Random maximal monotone operators,2016,
mtj,2014,October
inequalities,2011,May
inequalities,2012,July
explanator y relations,2013,September
(according to ACM CCS): I35 [Computer Graphics]: Computational Geometry and Object Modeling—Geometric algorithms,2014,01
(according to ACM CCS): I35 [Computer Graphics]: Computational Geometry and Object Modeling—Geometric algorithms,2011,12
matrix condition number,2015,
algebraic properties,2017,05
Sparsity,2011,May
adaptive detec- tion,2014,03
adaptive detec- tion,2014,February
high data spectral efficiency,2016,May
two main ingredients used,2013,05
two main ingredients used,2013,May
eralized linear feedback codes,2012,01
learning segment selection,2011,July
learning segment selection,2011,
allow accurate parameter inference,2012,01
group signature schemes,2012,September
Tag Recommendation,2013,October
express useful properties,2014,
Multichannel InSAR phase unwrapping,2013,01
Multichannel InSAR phase unwrapping,2013,January
Visual tracking,2012,05
Visual tracking,2012,
mieux les scores,2013,October
generalized spectral density f,2013,02
Network,2014,November
Network,2011,February
sysml,2014,April
extremal,2012,April
extremal,2012,04
Index Terms— EEG,2013,February
Index Terms— EEG,2013,
perform stepwise generalizations,2014,July
First-order masking,2012,February
nonverbal behavior,2012,November
dimensional photonic crystal rings,2013,February
photonic switching systems,2013,04
distributed processing,2011,December
et,2014,July
et,2014,July
simulation results finally confirm,2015,August
Index Terms— Image denoising,2014,01
bit interleaved coded modulation,2014,May
flexibility,2013,April
finite fields,2015,December
pon2 ).,2016,March
currently derived using,2013,September
specifically,2011,April
Cartographie rapide,2011,July
Conflict Graphs,2015,February
amplitude modulation,2014,
torso motion syn- thesis,2014,August
uniquely broad spectral coverage,2011,February
richesse,2014,December
AUC maximization,2007,
spatial audio object coding,2013,May
Index Terms—Kernel Design,2011,01
duplex static relaying protocols,2012,05
Copeland orders,2011,03
Copeland orders,2011,
oversampled filter banks,2012,March
bittorrent,2011,March
bittorrent,2011,December
bittorrent,2012,March
bittorrent,2012,December
large epidemic network,2011,
time realistic interaction,2012,March
Variable Length Markov Chains,2013,06
neuroimaging,2013,December
programming,2012,October
allows core devices,2013,10
Normalized cut,2015,March
Normalized cut,2015,03
eeg source localization,2014,June
Undirected Graph,2011,September
Index Terms— Toeplitz covariance matrix,2015,09
using shared wavelength converters,2015,September
signal-to-noise ratio,2014,August
query languages,2011,12
finite rings,2012,02
food consumption patterns,2011,December
participation,2013,September
multivariate data,2011,June
multivariate data,2011,
cone-tracing,2014,01
adaptive minimum variance distortion,2012,August
Image denoising,2011,May
Image denoising,2012,May
Cyclic codes,2015,January
Carrier Aggre- gation,2014,
DCT,2011,September
agile methods,2011,July
WebGL,2012,April
optical fibers,2013,January
time codes,2013,May
time codes,2012,
spot new malware instances,2014,
feature extraction,2015,October
feature extraction,2015,December
feature extraction,2013,October
feature extraction,2012,March
"5 ], cechlarova et",2015,June
formation initiale,2013,May
previous studies tend,2015,May
Least-squares estimators,2011,March
associated optimization problem,2015,
interprétariat,2011,October
profession,2012,March
Graph degeneracy,2013,February
appropriate stopping criterion,2014,
peer communications ).,2013,05
TICE,2013,May
conjunctive queries specified,2011,April
conjunctive queries specified,2011,08
Probabilistic prior,2015,October
Performance,2011,
Performance,2012,May
Performance,2015,06
Performance,2014,September
Performance,2011,02
Degeneracy,2013,01
average effective signal,2011,
Digital Radio,2011,
modeling and design techniques,2011,July
convex objective function defined,2011,
Statistiques de Mellin,2011,January
multimodal expressions,2015,September
merge,2013,September
Multiscreen,2014,September
MCMC,2014,June
MCMC,2014,01
14 may 2009,2011,May
05 0 figure 1,2014,
Stochastic Approximation,2012,
formally verify soc models,2013,September
ADCs,2014,June
Cooperative Sys-,2012,07
building high dynamic range,2014,May
architectural templates,2012,September
Higher-Order Differential Power Analysis,2011,June
face two important challenges,2015,September
abstract detecting geometric changes,1981,
bidirectional elliptical plane,2014,03
integration by parts,2015,
Optique guidée,2012,September
DWDM,2012,November
DWDM,2013,July
DWDM,2011,March
DWDM,2011,July
Lagrangean relaxation,2012,April
Neyman-Pearson detection,2011,June
468 galaxies significantly reduces,2011,June
noising,2012,April
Long,2012,October
Sigma Delta ADCs,2011,December
adì ag functions endowed,2015,01
audio identification,2012,December
world internet routing policies,2014,
Time-quantized additive random sampling,2015,May
Smart card,2011,
Named Data Networking,2013,December
Named Data Networking,2012,November
Named Data Networking,2013,October
Named Data Networking,2014,April
outage probability,2012,09
outage probability,2011,
outage probability,2013,June
outage probability,2012,June
Stochastic multi-armed bandits,2013,01
Stochastic multi-armed bandits,2013,June
Echelle de l'investissement,2011,January
Streaming,2015,June
Streaming,2015,February
Streaming,2011,November
Time-series analysis,2014,May
65K05,2016,01
65K05,2016,October
65K05,2015,01
65K05,2015,October
Learning,2014,
scenarios require us,2008,01
Countermeasure,2014,03
Countermeasure,2011,June
"pep ), perfect codes",2012,03
rability,2012,12
Index Terms—Optical Sources,2014,11
'Reverse Engineering',2015,May
Index Terms—Admission control,2013,March
IMS,2014,March
IMS,2011,December
IMS,2011,August
figurable sampling frequency,2014,June
antennas,2012,December
antennas,2012,October
antennas,2012,June
antennas,2014,November
antennas,2012,December
path interest forwarding strategies,2013,April
path interest forwarding strategies,2013,04
Fuzzy constraint satisfaction problem,2016,
Fuzzy constraint satisfaction problem,2014,October
low profile,2011,October
Bandpass charge sampling,2011,August
interferometric synthetic aperture radar (InSAR),2011,March
pixel precision warping technique,2014,
scenario indeed naturally provides,2012,01
whole disaster recovery algorithm,2014,
linewidth broadening factor,2015,October
comparators,2015,July
mobile communication,2013,January
MPEG DASH,2011,June
Level set methods,2011,
maximum like- lihood,2015,September
maximum like- lihood,2015,February
Gibbs sampler,2011,01
Gibbs sampler,2011,January
Human tissues,2011,March
Index Terms—Cellular network,2014,01
Index Terms—Cellular network,2013,01
function,2011,September
function,2012,01
injection-locked,1999,
ation; I36 [Computer Graphics]: Methodology and Techniques—,2012,07
Index Terms—IMS,2014,03
contribution,2011,October
risk assessment,2011,December
Text Analysis,2013,May
Text Analysis,2012,
chirp,2012,July
hrtfs comes largely,2013,
Least-squares regression,2011,June
Least-squares regression,2011,12
Least-squares regression,2012,June
Least-squares regression,2012,12
algorithms include decentralized estimation,2013,11
another linearly independent codeword,2016,January
another linearly independent codeword,2016,02
another linearly independent codeword,2015,January
another linearly independent codeword,2015,02
multimodal,2011,August
STF,2013,May
EM,2012,09
consistency,2015,September
consistency,2015,February
consistency,2015,July
spatial filters used,2012,
preserving new information,2014,01
iteration control,2011,October
iteration control,2011,September
Nonlinear tariffs,2011,11
autonomic computing,2012,April
real-time,2015,January
real-time,2011,01
real-time,2013,October
real-time,2013,June
real-time,2011,
real-time,2011,
real-time,2011,June
motion compensation,2014,03
Spatio-chromatic correlation,2016,03
Spatio-chromatic correlation,2016,February
Spatio-chromatic correlation,2015,03
Spatio-chromatic correlation,2015,February
called control graphs,2012,June
Graph-cut,2013,01
Graph-cut,2013,January
Law of large numbers,2012,06
order q ≥ 1,2014,01
advantageously using fiber birefringence,2014,September
tunistic relaying scheme,2010,02
Energy-aware Applications,2015,07
Keywords: global illumination,2014,01
different state every time,2012,07
cooperative spectrum sensing,2015,August
Expectation-Maximization algorithm,2011,October
Expectation-Maximization algorithm,2013,May
Expectation-Maximization algorithm,2013,
Expectation-Maximization algorithm,2012,
Expectation-Maximization algorithm,2012,July
Expectation-Maximization algorithm,2013,September
Expectation-Maximization algorithm,2011,
GPS,2014,October
achievable rate formulas,2012,
189 sz cluster candidates,2011,May
former reduces demand elasticities,2013,March
former reduces demand elasticities,2013,03
Rayleigh fading,2012,09
Rayleigh fading,2013,June
representations,2014,March
representations,2014,01
sample enrichment,2014,September
concepts formels flous,2015,November
linear learning algorithms,2016,March
linear learning algorithms,2016,07
Systèmes,2014,July
TTool,2016,February
TTool,2016,January
UMTS,2014,April
runtime software development,2011,October
paper includes computer simulation,2011,02
21 Introduction,2013,September
accumulated energy histogram saturate,2006,07
elastography,2011,September
multimodal interaction,2015,12
multimodal interaction,2015,October
multimodal interaction,2015,August
unknown metric scale inherent,2013,September
top-k querying,2012,May
real time generation,2015,August
constraints,2012,March
art speaker verification techniques,2013,June
flow-level modeling,2013,May
layer harq scheme,2012,
dissimilarity measures,2014,July
Finite automata,2015,
Cluster analysis,2014,02
point,2011,May
compression,2014,May
compression,2011,
esthétique,2012,March
esthétique,2015,October
ned radio,2012,October
lattice decoding,2015,November
global bit rate close,2014,12
global bit rate close,2014,December
global bit rate close,2014,May
subjectivité,2013,April
Modeling—Curve,2012,09
first order success rate,2011,March
Efficient payments,2011,07
DOA,2011,May
solid,2012,09
solid,2014,March
